id,nom,categorie,kcal,proteines,glucides,lipides,fibres,agSatures,agTrans,agMonoInsatures,agPolyInsatures,omega3,omega6,omega9,fer,magnesium,potassium,calcium,zinc,sodium,selenium,iode,vitA,vitC,vitD,vitE,vitK1,vitK2,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,creatine,collagene
banane,Banane,fruit,90,0.9,20,0.3,2.6,0.1,0,0,0,0,0,0,0.3,28,360,5,0.2,1,1,0,3,9,0,0.3,0.5,0,0.03,0.07,0.7,0.33,0.37,20,0,0,0
pomme,Pomme,fruit,52,0.3,12,0.2,2.4,0,0,0,0,0,0,0,0.1,5,107,6,0,1,0,0,3,4.6,0,0.2,2,0,0.02,0.03,0.09,0.06,0.04,3,0,0,0
poire,Poire,fruit,57,0.4,12,0.1,3.1,0,0,0,0,0,0,0,0,7,116,9,0,0,0,0,0,4,0,0,4.4,0,0.01,0.03,0.16,0.05,0.03,7,0,0,0
abricot,Abricot,fruit,48,1.4,9,0.4,2,0,0,0,0,0,0,0,0.4,10,259,13,0,0,0,0,96,10,0,0.9,3.3,0,0.03,0.04,0.6,0.24,0.05,9,0,0,0
peche,Pêche,fruit,39,0.9,8,0.3,1.5,0,0,0,0,0,0,0,0,9,190,6,0,0,0,0,16,6.6,0,0.7,2.6,0,0.02,0.03,0.8,0.15,0.02,4,0,0,0
nectarine,Nectarine,fruit,44,1.1,9,0.3,1.7,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,17,5.4,0,0.8,0,0,0.03,0.03,1.1,0.18,0.02,0,0,0,0
orange,Orange,fruit,47,0.9,9.3,0.1,2.4,0,0,0,0,0,0,0,0,10,181,40,0,0,0,0,11,53,0,0.2,0,0,0.09,0.04,0.28,0.25,0.06,30,0,0,0
clementine,Clémentine,fruit,47,0.9,10,0.2,1.7,0,0,0,0,0,0,0,0,0,177,30,0,0,0,0,11,49,0,0,0,0,0.08,0.03,0.3,0.15,0.08,24,0,0,0
cerise,Cerise,fruit,63,1.1,13,0.2,2.1,0,0,0,0,0,0,0,0,11,222,0,0,0,0,0,3,7,0,0,2.1,0,0.03,0.03,0.15,0.2,0.05,0,0,0,0
mangue,Mangue,fruit,60,0.8,13.5,0.4,1.6,0,0,0,0,0,0,0,0,10,168,0,0,0,0,0,54,36,0,0.9,4.2,0,0.03,0.04,0.7,0.2,0.12,43,0,0,0
kiwi,Kiwi,fruit,61,1.1,12,0.5,3,0,0,0,0,0,0,0,0,17,312,34,0,0,0,0,0,93,0,1.5,40,0,0.03,0.03,0.34,0.18,0.06,25,0,0,0
fraise,Fraise,fruit,32,0.7,6,0.3,2,0,0,0,0,0,0,0,0,0,153,16,0,0,0,0,0,59,0,0,2.2,0,0.02,0.02,0.39,0.13,0.05,24,0,0,0
